,Shots,Goals,Takeaways,Hits,Blocked Shots,Giveaways,Missed Shots,Penalities,#Won Faceoffs,HoA_away,HoA_home,startRinkSide_left,startRinkSide_right
12343,6.0,1.0,4.0,7.0,4.0,3.0,2.0,1.0,10.0,0,1,0,1
12344,5.0,1.0,0.0,16.0,6.0,3.0,4.0,2.0,10.0,1,0,1,0
12345,3.0,2.0,2.0,20.0,5.0,4.0,3.0,1.0,10.0,0,1,1,0
12346,7.0,0.0,2.0,6.0,4.0,0.0,2.0,0.0,7.0,1,0,1,0
12347,9.0,0.0,5.0,6.0,6.0,0.0,3.0,0.0,11.0,0,1,1,0
12348,10.0,0.0,3.0,5.0,7.0,3.0,1.0,2.0,12.0,1,0,0,1
12349,10.0,0.0,4.0,9.0,4.0,3.0,2.0,0.0,6.0,0,1,0,1
12350,10.0,1.0,4.0,9.0,1.0,3.0,4.0,3.0,11.0,1,0,1,0
12351,11.0,1.0,1.0,11.0,4.0,2.0,1.0,1.0,10.0,0,1,1,0
12352,17.0,1.0,2.0,8.0,7.0,5.0,1.0,2.0,9.0,1,0,0,1
12353,11.0,1.0,6.0,13.0,9.0,4.0,4.0,1.0,21.0,0,1,0,1
12354,5.0,1.0,6.0,9.0,7.0,1.0,1.0,3.0,10.0,1,0,1,0
12355,14.0,0.0,6.0,8.0,6.0,2.0,5.0,1.0,7.0,0,1,1,0
12356,12.0,0.0,1.0,6.0,1.0,4.0,4.0,1.0,8.0,1,0,0,1
12357,3.0,1.0,1.0,10.0,8.0,4.0,1.0,1.0,8.0,0,1,0,1
12358,10.0,0.0,1.0,4.0,3.0,1.0,4.0,3.0,11.0,1,0,1,0
12359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,1,0
12360,7.0,0.0,0.0,9.0,7.0,3.0,3.0,6.0,13.0,0,1,1,0
12361,7.0,1.0,1.0,1.0,3.0,4.0,1.0,0.0,9.0,1,0,1,0
12362,8.0,1.0,7.0,7.0,3.0,6.0,4.0,1.0,7.0,0,1,1,0
12363,11.0,0.0,2.0,13.0,4.0,4.0,5.0,0.0,14.0,1,0,1,0
12364,14.0,0.0,3.0,17.0,2.0,2.0,5.0,1.0,7.0,0,1,1,0
12365,8.0,0.0,6.0,3.0,5.0,1.0,5.0,2.0,12.0,1,0,1,0
12366,7.0,1.0,1.0,5.0,6.0,1.0,3.0,1.0,9.0,0,1,1,0
12367,10.0,1.0,3.0,12.0,10.0,2.0,2.0,2.0,7.0,1,0,0,1
12368,15.0,1.0,4.0,6.0,3.0,5.0,8.0,1.0,12.0,0,1,0,1
12369,6.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,6.0,1,0,0,1
12370,9.0,0.0,1.0,10.0,3.0,1.0,4.0,1.0,12.0,0,1,0,1
12371,5.0,1.0,1.0,3.0,4.0,2.0,0.0,2.0,7.0,1,0,0,1
12372,7.0,3.0,0.0,9.0,1.0,0.0,4.0,1.0,10.0,0,1,0,1
12373,7.0,0.0,1.0,8.0,3.0,0.0,2.0,1.0,8.0,1,0,0,1
12374,13.0,3.0,2.0,8.0,2.0,0.0,6.0,1.0,19.0,0,1,0,1
12375,7.0,0.0,0.0,12.0,5.0,2.0,2.0,0.0,7.0,1,0,1,0
12376,11.0,2.0,2.0,15.0,7.0,3.0,3.0,2.0,13.0,0,1,1,0
12377,15.0,2.0,0.0,8.0,7.0,2.0,3.0,3.0,9.0,1,0,1,0
12378,6.0,0.0,2.0,11.0,6.0,1.0,3.0,1.0,9.0,0,1,1,0
12379,12.0,0.0,3.0,7.0,7.0,3.0,5.0,2.0,18.0,1,0,0,1
12380,10.0,1.0,1.0,8.0,6.0,7.0,3.0,2.0,9.0,0,1,0,1
12381,4.0,1.0,3.0,5.0,4.0,0.0,4.0,1.0,8.0,1,0,0,1
12382,7.0,2.0,3.0,6.0,2.0,3.0,5.0,0.0,19.0,0,1,0,1
12383,11.0,0.0,2.0,7.0,3.0,3.0,3.0,1.0,4.0,1,0,1,0
12384,6.0,0.0,2.0,10.0,5.0,1.0,3.0,2.0,8.0,0,1,1,0
12385,9.0,0.0,1.0,13.0,8.0,5.0,2.0,1.0,5.0,1,0,1,0
12386,11.0,0.0,5.0,6.0,4.0,3.0,4.0,1.0,9.0,0,1,1,0
12387,7.0,0.0,1.0,11.0,3.0,3.0,2.0,1.0,12.0,1,0,0,1
